# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-29 at 15:32:19
#
# Requested input R.A. = 193.887625612 degrees
# Requested input Dec. = 32.2060310595 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 673 8 3 ZTF_g 448309233115 0 2.3839 78.6709 6.34359 26.2375 2.2439e-05 0.0325293 -0.0262295 3.62469e-05 281 30. 0.07669 0.053076 20.3599 26.2375 1 2458202.8092361 673120131 9.83522831951472 31.7718656598869 0.344347179280145 1.08856590002885 -11.3605616342891 49.7822163051018 -0.229742195494674 1.12154830770295 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 1 673 8 3 ZTF_g 448314563115 0 2.7953 78.8627 6.27919 26.2488 2.45842e-05 0.0336085 -0.0219557 4.05785e-05 270 30. 0.084547 0.057822 20.2438 26.2488 1 2458202.8145602 673120131 -28.3048777816691 35.9174927882208 -0.876617369943397 0.963259678858041 -63.7200483603531 53.155419221358 -1.20682345265771 1.14467595099511 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 2 673 8 3 ZTF_g 451302653115 0 2.2852 79.5042 11.0082 26.2716 3.09129e-05 0.0359168 -0.0432003 5.68168e-05 236 30. 0.078104 0.058349 19.7222 26.2716 1 2458205.8026505 673120131 -16.7394074762833 55.4948001628833 -0.335538679071337 1.03456166470471 -92.2101083422661 91.5845051795279 -1.01361194827968 1.07707049864398 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 3 673 8 3 ZTF_g 451320943115 0 2.4471 80.4049 10.879 26.2409 3.64385e-05 0.0384061 -0.0159819 6.95135e-05 232 30. 0.084757 0.052767 19.6643 26.2409 1 2458205.8209491 673120131 34.5749144286254 59.637887705408 0.644901908383234 0.95296913091949 70.9749502265997 95.6260427809521 0.747212459304506 1.0874745970212 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 4 673 8 3 ZTF_g 454297483115 1 2.4979 68.0049 26.8791 26.0025 0.00015533 0.0506553 0.0186403 0.000363116 112 30. 0.096421 0.066207 18.4641 26.0025 1 2458208.7974884 673120131 35.3390230654147 141.404387214252 0.278001062920458 1.23735076317425 59.7646645722759 219.554804206091 0.27404175118959 1.11416702138061 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 5 673 8 3 ZTF_g 454357253115 33554433 2.5843 42.9712 32.7578 25.6637 0.00029156 0.042329 -0.035826 0.00089945 53 30. 0.09098 0.069749 17.8969 25.6637 1 2458208.8572569 673120131 -120.708508939138 189.665281493971 -0.707953684682939 0.927257415387878 -216.635146069469 289.608510569766 -0.753065563623317 1.1349384696704 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
 6 673 8 3 ZTF_r 460235863115 0 3.0912 248.232 19.0352 25.3605 6.01529e-05 0.0499199 0.124086 9.14492e-05 253 30. 0.106489 0.066012 18.9168 26.275 3 2458214.7358681 673120231 null null null null null null null null 2.9105820591292 21.9240001678467 0.181999996304512 1.875 0.342999994754791 2458155.943021 2458186.879884 61
 7 673 8 3 ZTF_r 460245723115 0 3.3219 250.651 32.4123 24.8337 9.01578e-05 0.0479441 0.112217 0.000153937 163 30. 0.106213 0.069641 18.2664 26.275 1 2458214.7457292 673120231 null null null null null null null null 2.9105820591292 21.9240001678467 0.181999996304512 1.875 0.342999994754791 2458155.943021 2458186.879884 61
 8 673 8 3 ZTF_g 460265473115 0 3.5703 30.4663 5.16375 25.1847 7.03686e-05 0.0447613 -0.00196257 0.000147592 162 30. 0.101433 0.061742 19.1385 25.1847 1 2458214.7654745 673120131 1.39370918886067 35.4082644114858 0.043784694596541 1.04680763063453 0.943930751029348 47.0406591046524 0.0202014214306048 1.20819010635793 2.16121680074066 22.2840001106262 0.179000005125999 1.24300003051758 0.236000001430511 2458166.951169 2458274.739456 0
