# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-29 at 00:08:42
#
# Requested input R.A. = 161.20762708 degrees
# Requested input Dec. = 6.60120719633 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 469 13 3 ZTF_g 448271895115 0 2.3067 159.749 7.97348 26.2252 2.17277e-05 0.034617 -0.0305635 3.25265e-05 339 30. 0.048794 0.051633 20.1428 26.2252 1 2458202.7718981 469120151 -25.3246060436595 37.8242610557291 -0.744778355586912 1.02195164072723 -29.5209913005089 61.54969587109 -0.482858874520692 1.1231079358088 1.87507041530811 20.2310001373291 0.11599999666214 3.33899998664856 0.379000008106232 2458202.771898 2458464.998646 0
 1 470 16 2 ZTF_g 450214026215 0 3.4835 156.064 13.2093 26.1865 6.35707e-05 0.0468998 -0.0408452 0.000119438 210 30. 0.069466 0.062678 19.1343 26.1865 1 2458204.7140278 470120162 null null null null null null null null 1.11913471171438 21.8350002288818 0.232999995350838 0.865000009536743 0.0120000001043081 2458166.911794 2458440.981481 56
 2 470 16 2 ZTF_g 450315966215 0 3.3201 144.911 11.5735 26.207 4.54539e-05 0.0418724 -0.0511724 8.13545e-05 235 30. 0.066957 0.055888 19.3083 26.207 1 2458204.8159606 470120162 null null null null null null null null 1.11913471171438 21.8350002288818 0.232999995350838 0.865000009536743 0.0120000001043081 2458166.911794 2458440.981481 61
 3 470 16 2 ZTF_g 454260096215 49 1.9038 14.7227 48.6304 24.7743 0.0478969 0.0477651 -0.468936 0.167673 8 30. 0.051092 0.049994 16.7354 24.7743 1 2458208.7600926 470120162 null null null null null null null null 1.11913471171438 21.8350002288818 0.232999995350838 0.865000009536743 0.0120000001043081 2458166.911794 2458440.981481 56
 4 469 13 3 ZTF_g 454261015115 1 1.8302 80.6338 42.2932 25.5797 0.00462453 0.197314 -0.121059 0.0114064 76 30. 0.056728 0.050251 17.7356 25.5797 1 2458208.7610185 469120151 49.5016831908287 171.152696845659 0.321729601303883 0.931464085169313 -161.429329730918 318.044294382744 -0.510987206577272 1.08693252354266 1.87507041530811 20.2310001373291 0.11599999666214 3.33899998664856 0.379000008106232 2458202.771898 2458464.998646 0
 5 470 16 2 ZTF_g 454277536215 1 2.239 85.9229 38.7706 25.5678 0.000351817 0.0472115 -0.0395487 0.000917807 61 30. 0.058881 0.057976 17.6624 25.5678 1 2458208.7775347 470120162 null null null null null null null null 1.11913471171438 21.8350002288818 0.232999995350838 0.865000009536743 0.0120000001043081 2458166.911794 2458440.981481 56
 6 469 13 3 ZTF_g 454279505115 1 2.3178 112.393 30.2736 25.9881 9.59222e-05 0.0411929 -0.066663 0.000207968 127 30. 0.062654 0.070178 18.3171 25.9881 1 2458208.7795023 469120151 22.3015130077273 161.421392921394 0.15368378165207 0.957979957246642 17.9258533135726 271.466805931685 0.0664780539376268 1.08626371908735 1.87507041530811 20.2310001373291 0.11599999666214 3.33899998664856 0.379000008106232 2458202.771898 2458464.998646 0
 7 469 13 3 ZTF_r 460196895115 0 2.3562 76.9229 9.39574 24.4668 9.20903e-05 0.0511046 0.0774057 0.000133269 201 30. 0.067232 0.060745 18.0711 24.4668 1 2458214.6968981 469120251 24.018296358855 47.862240533053 0.558218178555906 1.02338008180959 39.940060119902 78.4971109995041 0.512236160169146 1.09388728475742 0.773640744255065 19.9430002212524 0.0979999974370003 3.66599988937378 0.442999988794327 2458160.790347 2458449.965671 0
 8 470 16 2 ZTF_r 461244456215 32 2.5701 29.7097 11.1608 23.6291 0.00120498 0.106571 0.0471562 0.00197179 79 30. 0.06084 0.062441 16.9749 23.6291 1 2458215.744456 470120262 null null null null null null null null 0.263184426420689 20.7819999694824 0.11599999666214 2.05200004577637 0.186000004410744 2458160.790880 2458447.999248 56
 9 470 16 2 ZTF_g 461257596215 8 4.4858 77.3859 6.02547 25.4939 9.44139e-05 0.0446986 -0.0380241 0.000194354 146 30. 0.075572 0.069712 18.9816 25.4939 1 2458215.7575926 470120162 null null null null null null null null 1.11913471171438 21.8350002288818 0.232999995350838 0.865000009536743 0.0120000001043081 2458166.911794 2458440.981481 56
