# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-27 at 12:20:29
#
# Requested input R.A. = 282.96913951 degrees
# Requested input Dec. = 42.5826937202 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 726 13 3 ZTF_r 443434255115 0 3.585 172.178 7.33816 25.8991 2.6053e-06 0.0203981 0.0580748 7.5776e-06 1803 30. 0.048503 0.058347 19.5276 25.8991 2 2458197.9342593 726120251 -16.7217199724285 35.3808076872064 -0.525736348561649 0.952897438770401 -20.6835837274484 54.5455535845079 -0.381752269167455 1.0496097666146 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 1 726 13 3 ZTF_r 443442765115 0 3.0484 174.866 7.28483 25.9169 2.4476e-06 0.019841 0.0581822 7.09484e-06 1797 30. 0.047046 0.057283 19.6295 25.9169 2 2458197.9427662 726120251 59.5280625305683 31.9132603815011 2.07493918880889 1.08387007541918 29.336855051561 50.6550075829691 0.583050755837935 1.04720499922121 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 2 726 13 3 ZTF_r 443468485115 0 2.6761 206.252 6.92779 26.0945 1.6881e-06 0.0164414 0.0625126 4.90369e-06 1796 30. 0.040498 0.046741 20.0194 26.0945 2 2458197.9684838 726120251 -33.451855818452 29.7935039773117 -1.24897410516714 0.990715289642425 44.8873785100924 50.2801336795734 0.898758501219094 1.05021688770501 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 3 726 13 3 ZTF_r 443486375115 0 2.571 34.002 9.4177 24.1491 1.79761e-05 0.0490682 0.0701675 4.77023e-05 1379 30. 0.043686 0.056072 17.6873 24.1491 2 2458197.9863773 726120251 -7.48674782786743 41.7219883447475 -0.199610328302947 1.04533452207456 130.548786112728 71.277771632901 1.84388536127641 1.04962920627754 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 4 726 13 3 ZTF_r 444423365115 0 2.9359 221.612 6.85092 26.1493 1.5224e-06 0.0156604 0.0604805 4.43726e-06 1909 30. 0.045544 0.048353 19.9711 26.1493 2 2458198.9233681 726120251 24.0602583097338 33.252889340934 0.804869924763037 0.989011069837646 -11.4454851860611 53.3703122213903 -0.215898515629931 1.04867999317356 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 5 726 13 3 ZTF_r 444443255115 0 2.5495 223.104 6.77479 26.1676 1.2948e-06 0.0144366 0.0624481 3.78637e-06 1919 30. 0.039949 0.042318 20.1273 26.1676 2 2458198.9432523 726120251 10.2340107686725 29.0656211011547 0.391670680827459 0.96796624411447 19.2133768792999 49.6142750087785 0.389863201157317 1.04725472155198 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 6 726 13 3 ZTF_r 444466565115 0 2.122 223.935 6.78983 26.1579 1.2719e-06 0.0143144 0.0655256 3.71685e-06 1911 30. 0.033959 0.041011 20.3327 26.1579 2 2458198.9665625 726120251 -0.0588000276919372 23.8167043546967 -0.00274631700516766 0.936734853416999 38.8380463637214 44.3077010092222 0.882456592193449 1.04626942016618 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 7 726 13 3 ZTF_r 444492885115 0 1.9795 229.331 6.45074 26.1824 1.3007e-06 0.0143388 0.0655219 3.82328e-06 1904 30. 0.033871 0.041331 20.5067 26.1824 2 2458198.9928819 726120251 -21.948459795654 21.5198805043296 -1.13453786574029 0.974645530741467 -95.0771124366805 40.5080906287193 -2.36292209219392 1.04578934822982 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
 8 726 13 3 ZTF_r 444505705115 0 1.7776 229.733 6.43371 26.1826 1.7228e-06 0.016437 0.0667828 5.07308e-06 1896 30. 0.030924 0.038733 20.5131 26.1826 1 2458199.005706 726120251 51.2142377769621 21.7869828969891 2.61485988237138 0.997174394497081 102.24390990461 41.7847697643042 2.46339824536605 1.0457321857926 0.321115390975196 21.775 0.165000006556511 0.897000014781952 -0.125 2458159.009282 2458220.004734 0
