# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-02-01 at 15:18:15
#
# Requested input R.A. = 169.780854037 degrees
# Requested input Dec. = 47.2939804509 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 753 5 1 ZTF_g 448280601715 0 2.4215 88.6518 6.80898 26.2604 3.38027e-05 0.0391315 -0.0579181 4.78116e-05 279 30. 0.06208 0.056845 20.2796 26.2604 1 2458202.7806019 753120117 -35.122870813746 34.6315093739922 -1.12816698751239 1.00223230817393 -21.7769928913978 55.7021786584808 -0.393587157979516 1.099742110696 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
 1 753 5 1 ZTF_g 451266161715 0 2.3373 91.3701 12.6448 26.2683 4.07526e-05 0.0409558 -0.0416323 6.84638e-05 228 30. 0.058488 0.057714 19.5574 26.2683 1 2458205.766169 753120117 33.7365325175079 58.1808251054178 0.645023248747518 1.01248609925957 134.151377655423 98.6032568366216 1.36967985881131 1.06668741014457 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
 2 753 5 1 ZTF_g 451314381715 0 2.1425 90.3461 12.6253 26.2606 4.50911e-05 0.0430726 -0.0416169 7.37372e-05 233 30. 0.064334 0.050287 19.6271 26.2606 1 2458205.8143866 753120117 -56.9090675044101 61.2067067004649 -1.03427793136759 0.928703807436866 32.0802784337179 108.406963344422 0.297917587194979 1.06424515188917 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
 3 753 5 1 ZTF_g 452262971715 0 1.9306 92.47 14.0412 26.2829 3.99844e-05 0.0400808 -0.038805 6.40728e-05 237 30. 0.062863 0.051772 19.6156 26.2829 1 2458206.7629745 753120117 -14.8473279925951 56.9502902232711 -0.2900061194688 1.05504444539421 148.189415058721 105.53414318972 1.41364182989586 1.05782091412014 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
 4 1752 13 0 ZTF_g 452264134815 0 2.4314 137.774 13.1567 26.2019 4.16233e-05 0.0364625 -0.0766521 7.11644e-05 196 30. 0.059253 0.055284 19.4353 26.2019 2 2458206.7641319 1752120148 -29.0959358035493 62.3083644622126 -0.519446446167949 1.21773739842139 -78.077164671969 105.822129072623 -0.742784326464025 1.09037084728603 0.900385994266826 21.6450001716614 0.100000001490116 0.508000016212463 -0.14300000667572 2458166.821181 2458587.729155 0
 5 1753 16 0 ZTF_g 452280996015 0 2.1504 123.266 12.9292 26.2597 3.89762e-05 0.0367012 -0.0466143 6.89264e-05 205 30. 0.062445 0.054303 19.6541 26.2597 2 2458206.7809954 1753120160 122.92189484131 64.5756042976863 2.11746172294504 1.07458747399746 267.985334117151 112.167666681743 2.4052406432455 1.09070647250445 0.472888217150856 21.9290000915527 0.119999997317791 0.41100001335144 -0.068000003695488 2458166.840278 2458601.749410 0
 6 753 5 1 ZTF_g 452284521715 0 1.9598 92.7775 14.0405 26.2652 3.76255e-05 0.0388707 -0.0403482 5.98811e-05 234 30. 0.059894 0.045628 19.5871 26.2652 1 2458206.7845255 753120117 -69.1008809929893 60.6301963898808 -1.26779609722075 1.01390942831923 -166.12526576987 111.998337058212 -1.49327332338787 1.05623750261573 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
 7 1752 13 0 ZTF_g 452285684815 0 2.2767 137.556 13.0796 26.2043 5.12154e-05 0.0414113 -0.0611606 8.60292e-05 206 30. 0.061363 0.052835 19.4871 26.2043 2 2458206.7856829 1752120148 -50.738874240549 60.1431175955469 -0.938446873347665 1.13032552113723 -19.7878725978612 104.08615259523 -0.191390925320975 1.09286981653017 0.900385994266826 21.6450001716614 0.100000001490116 0.508000016212463 -0.14300000667572 2458166.821181 2458587.729155 0
 8 753 5 1 ZTF_g 454269081715 33 2.1647 20.8315 31.7418 24.7225 0.00549582 0.0693393 -0.00923156 0.0156987 19 30. 0.075258 0.066593 17.0643 24.7225 1 2458208.7690856 753120117 16.5133078337583 160.012445603301 0.114798209657121 0.941751868140675 42.0142368133608 278.843701758465 0.151687862586984 1.07403335459183 0.761232481982597 21.6320001602173 0.0829999968409538 0.769999980926514 0.0710000023245811 2458166.820683 2458249.705556 0
