# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-29 at 10:38:32
#
# Requested input R.A. = 309.230156133 degrees
# Requested input Dec. = 2.80682954447 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 491 6 2 ZTF_r 472501032215 0 2.2523 230.276 8.05351 26.2404 1.3432e-06 0.0149994 0.0875666 4.22587e-06 2063 30. 0.044348 0.046306 20.1887 26.2404 1 2458227.0010301 491120222 7.06537013343442 33.2099063830314 0.236658478411757 1.021990207988 -17.4666820953299 58.1356520225797 -0.30247052527004 1.05416553822446 1.04379067733822 20.8470000267029 0.0970000028610229 2.59200000762939 0.326999992132187 2458227.001030 2458433.605521 0
 1 491 6 2 ZTF_g 475501932215 0 3.2687 109.359 7.90105 26.2496 4.1325e-06 0.0262637 -0.107515 1.30308e-05 2064 30. 0.062889 0.058973 19.8527 26.2496 1 2458230.0019329 491120122 31.5001748094701 43.3852717717631 0.807654175570476 1.03005970890379 89.7422346134652 64.8208217478408 1.39379062607931 1.07200581847269 1.68887331149077 21.0670001029968 0.138999998569489 2.90100002288818 0.351000010967255 2458230.001933 2458362.750208 0
 2 491 6 2 ZTF_g 482433992215 0 2.7929 97.7949 16.2551 26.0823 7.2877e-06 0.0352303 -0.0457491 2.27521e-05 2007 30. 0.051588 0.054559 18.9979 26.0823 1 2458236.9339931 491120122 -21.206672113454 84.3646360414114 -0.279619133417284 0.99076850834411 -32.8008248649893 131.742379099878 -0.250653893859111 1.08417654207816 1.68887331149077 21.0670001029968 0.138999998569489 2.90100002288818 0.351000010967255 2458230.001933 2458362.750208 0
 3 491 6 2 ZTF_r 490480792215 0 2.6858 244.7 12.4611 26.2711 2.2414e-06 0.0192978 0.0967556 7.04315e-06 2053 30. 0.050646 0.047394 19.5498 26.2711 1 2458244.9807986 491120222 11.0990422870666 71.4936261540916 0.17269230335244 0.864631075938789 127.938687003784 111.988865609928 1.15011756499369 1.08212620935168 1.04379067733822 20.8470000267029 0.0970000028610229 2.59200000762939 0.326999992132187 2458227.001030 2458433.605521 0
 4 491 6 2 ZTF_r 493461492215 0 2.3069 243.804 7.86879 26.2896 1.5345e-06 0.0161424 0.090002 4.80464e-06 2063 30. 0.042079 0.041564 20.3089 26.2896 1 2458247.9614931 491120222 -50.191485203441 33.6001918784542 -1.66166353934938 0.978181697391286 -118.277559092513 58.1680718454196 -2.04707086689287 1.06015897209916 1.04379067733822 20.8470000267029 0.0970000028610229 2.59200000762939 0.326999992132187 2458227.001030 2458433.605521 0
 5 491 6 2 ZTF_g 493494342215 0 2.1018 116.505 13.255 26.2622 3.1184e-06 0.0233203 -0.0189762 9.68324e-06 2050 30. 0.039795 0.042153 19.6461 26.2622 1 2458247.9943403 491120122 -66.6320260632538 60.6641008276368 -1.22181669548106 1.03567118517651 -113.101038718218 103.245598609211 -1.10283423463133 1.07963719429362 1.68887331149077 21.0670001029968 0.138999998569489 2.90100002288818 0.351000010967255 2458230.001933 2458362.750208 0
 6 491 6 2 ZTF_r 502420502215 0 2.6966 235.344 6.38246 26.2715 1.3628e-06 0.0152606 0.0759628 4.25445e-06 2072 30. 0.04765 0.049839 20.3171 26.2715 1 2458256.9205093 491120222 22.7720302932184 29.0813804434001 0.871046893200546 0.875902311514519 29.3948801029994 49.2865807638816 0.600424209857365 1.0470904581613 1.04379067733822 20.8470000267029 0.0970000028610229 2.59200000762939 0.326999992132187 2458227.001030 2458433.605521 0
 7 491 6 2 ZTF_r 502461352215 0 2.5061 241.539 6.18122 26.2982 1.1508e-06 0.0139519 0.078376 3.60944e-06 2072 30. 0.045553 0.04068 20.4131 26.2982 1 2458256.9613542 491120222 -23.0892690151121 25.9370008599269 -0.990250860429508 1.08380218833556 -23.6186675556242 44.7240391200556 -0.531654589083089 1.04890935440053 1.04379067733822 20.8470000267029 0.0970000028610229 2.59200000762939 0.326999992132187 2458227.001030 2458433.605521 0
 8 491 6 2 ZTF_g 505423072215 0 2.3419 82.7289 4.52688 25.8948 3.2568e-06 0.0237204 -0.0249635 1.01903e-05 2065 30. 0.053952 0.043824 20.4746 25.8948 1 2458259.9230787 491120122 13.0487874843973 21.4123678119228 0.677891618617509 0.937152008748273 -18.7159765337546 35.1095499770456 -0.536663948266219 1.08583345680053 1.68887331149077 21.0670001029968 0.138999998569489 2.90100002288818 0.351000010967255 2458230.001933 2458362.750208 0
