# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-29 at 19:04:26
#
# Requested input R.A. = 303.87134283 degrees
# Requested input Dec. = -9.05299307796 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 387 9 2 ZTF_r 492455193415 0 2.8852 230.737 10.3228 26.2756 4.0321e-06 0.024319 0.0874006 1.16799e-05 2045 30. 0.065303 0.063075 19.757 26.2756 1 2458246.9551968 387120234 49.4507641835576 57.3148697767447 0.959755254347007 0.979283216426429 51.2129426362084 84.6215766891802 0.609275633574757 1.11759779926804 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
 1 387 9 2 ZTF_g 492464583415 0 2.342 122.361 8.79971 26.2049 2.6244e-06 0.0198762 -0.0260207 7.57206e-06 2042 30. 0.046898 0.049623 20.0256 26.2049 1 2458246.9645833 387120134 55.0524999868994 39.3552076551427 1.55607182170201 0.9679769064455 65.667914061464 64.2501064330577 1.02895068835016 1.0901187382499 2.63906757557487 19.5480000495911 0.0970000028610229 5.42899990081787 0.537000000476837 2458246.964583 2458337.857963 0
 2 387 9 2 ZTF_r 495475133415 8 4.888 225.207 7.02038 26.2532 4.3376e-06 0.0250728 0.103971 1.26176e-05 2022 30. 0.087242 0.097333 19.7338 26.2532 1 2458249.9751389 387120234 121.755970273829 52.7198849815723 2.56903850127826 1.01489691527349 116.527075414949 63.9364475147366 1.83482030253878 1.30947041289856 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
 3 387 9 2 ZTF_r 502419083415 0 2.9469 220.081 6.75412 26.2481 1.3612e-06 0.0142832 0.0790738 3.94431e-06 2061 30. 0.053897 0.05999 20.1394 26.2481 1 2458256.9190856 387120234 -18.8557044426261 34.7898742314282 -0.602899195702095 0.943490287161105 21.5958398451581 54.0998351832023 0.401873480675232 1.06368314013504 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
 4 387 9 2 ZTF_r 502459503415 0 2.4273 229.027 6.44926 26.2807 9.338e-07 0.0118854 0.0799518 2.69933e-06 2071 30. 0.047438 0.048316 20.3869 26.2807 1 2458256.9595023 387120234 -14.1586980337746 28.1997016592998 -0.558513412422379 1.06638181529289 15.3897457413511 48.2287143228844 0.321248384533757 1.05010693643313 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
 5 387 9 2 ZTF_g 505420263415 0 2.2426 67.2149 4.61264 25.5542 2.69334e-05 0.064236 -0.0348808 7.78751e-05 2054 30. 0.050271 0.054319 20.1752 25.5542 1 2458259.9202662 387120134 25.8512354466104 20.2098741163575 1.42289382891202 1.00149992994856 48.9051427485714 33.1123089275304 1.48689485250003 1.09340713655159 2.63906757557487 19.5480000495911 0.0970000028610229 5.42899990081787 0.537000000476837 2458246.964583 2458337.857963 0
 6 387 9 2 ZTF_r 505459383415 0 1.9156 222.029 5.78806 26.2195 1.7488e-06 0.0161442 0.0891521 5.07251e-06 2068 30. 0.046469 0.047048 20.7997 26.2195 1 2458259.9593866 387120234 -63.7158440458508 19.7500752345577 -3.58866969589039 0.998901017323215 -86.4247950144329 33.8849258017402 -2.56771614287642 1.07995617324753 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
 7 387 9 2 ZTF_g 508459533415 0 3.1655 123.262 4.64955 26.1966 2.7465e-06 0.0204099 -0.00128668 7.9811e-06 2051 30. 0.064876 0.066624 20.5198 26.1966 1 2458262.959537 387120134 1.43717601469051 28.4737808993412 0.0561461036103931 0.983946764012015 9.40457989506168 40.2993002993978 0.234940066239513 1.17529220094949 2.63906757557487 19.5480000495911 0.0970000028610229 5.42899990081787 0.537000000476837 2458246.964583 2458337.857963 0
 8 387 9 2 ZTF_r 508482623415 0 7.2181 229.902 8.66609 26.2732 2.236e-06 0.0183229 0.0951685 6.47639e-06 2074 30. 0.058695 0.068021 19.9914 26.2732 1 2458262.9826273 387120234 8.59040062145004 45.7745348439255 0.2087585537154 1.05808256266313 -50.7450633909908 66.0626935130349 -0.773308377177533 1.13456313065227 2.49184717138365 18.9339999198914 0.0820000022649765 5.61600017547607 0.523999989032745 2458246.955197 2458378.733414 0
