# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-01-27 at 21:21:52
#
# Requested input R.A. = 336.97330059 degrees
# Requested input Dec. = 19.4606850946 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 597 12 3 ZTF_g 491479894715 0 2.1319 8.53387 13.8506 23.8592 0.00111286 0.0924762 -0.0935598 0.00379006 141 30. 0.060368 0.05276 17.1469 23.8592 1 2458245.9798958 597120147 60.2858255374657 65.1760254506649 1.0289212593173 0.982791232217569 175.913037364183 113.187326122293 1.56464356796118 1.07720334296273 0.0817968177411412 21.901000213623 0.103000000119209 0.671000003814697 -0.0270000007003546 2458262.970116 2458305.977199 0
 1 597 12 3 ZTF_r 500483854715 0 2.1656 163.818 7.4977 26.2258 3.266e-06 0.0228953 0.115534 5.96546e-06 1074 30. 0.046131 0.04471 20.3698 26.2258 1 2458254.9838542 597120247 14.4889284851978 31.4218891611457 0.512930799544772 0.989936000874265 0.991848206595616 55.1268715108378 0.0181132782246971 1.06573721320423 0.495776312389876 21.3270000457764 0.0939999967813492 1.09899997711182 0.0390000008046627 2458254.983854 2458423.640718 0
 2 597 12 3 ZTF_r 503464724715 0 2.0865 156.562 5.17799 26.1806 3.265e-06 0.0230204 0.111232 5.87069e-06 1086 30. 0.050455 0.044005 20.7126 26.1806 1 2458257.9647222 597120247 -10.6811279797412 20.9192592560693 -0.567970288478684 0.993846931167756 -25.7272895630077 37.3533283506854 -0.693393747814618 1.06064024041051 0.495776312389876 21.3270000457764 0.0939999967813492 1.09899997711182 0.0390000008046627 2458254.983854 2458423.640718 0
 3 597 12 3 ZTF_g 508470114715 0 2.616 85.6608 4.44046 26.2179 4.947e-06 0.0282202 -0.0222571 9.0881e-06 1071 30. 0.054588 0.048909 20.7594 26.2179 1 2458262.9701157 597120147 -24.7964451137418 24.5476209126161 -1.12365973017627 0.97250750975153 -1.17841185960794 38.0910129944918 -0.0311451032151278 1.12056408197679 0.0817968177411412 21.901000213623 0.103000000119209 0.671000003814697 -0.0270000007003546 2458262.970116 2458305.977199 0
 4 597 12 3 ZTF_r 512381754715 0 2.0856 143.523 15.0472 26.1186 6.6117e-06 0.0327505 0.109732 1.19523e-05 1082 30. 0.053897 0.044884 19.3081 26.1186 1 2458266.8817593 597120247 -122.932396935322 68.4681312063555 -1.99725113407016 0.995042174851991 -98.9343882332211 124.323066848652 -0.801144305355691 1.04711127649416 0.495776312389876 21.3270000457764 0.0939999967813492 1.09899997711182 0.0390000008046627 2458254.983854 2458423.640718 0
 5 597 12 3 ZTF_r 515434424715 0 2.1784 130.219 15.2352 26.0061 7.6561e-06 0.0353368 0.104719 1.36882e-05 1080 30. 0.053038 0.046316 19.1692 26.0061 1 2458269.9344213 597120247 -15.6056364692028 69.2190226458758 -0.250790351471911 0.962018366263043 191.192229191654 125.612377458025 1.53233243212682 1.04774087851272 0.495776312389876 21.3270000457764 0.0939999967813492 1.09899997711182 0.0390000008046627 2458254.983854 2458423.640718 0
 6 597 12 3 ZTF_g 515467634715 0 2.5981 81.916 13.5035 26.2138 1.14212e-05 0.0366275 -0.0319283 2.70257e-05 824 30. 0.049954 0.042588 19.394 26.2138 1 2458269.9676389 597120147 80.6484596332216 69.8086412955098 1.28511411206098 1.0374026417097 225.870473427889 113.028507135129 2.01180861205226 1.07861754065862 0.0817968177411412 21.901000213623 0.103000000119209 0.671000003814697 -0.0270000007003546 2458262.970116 2458305.977199 0
 7 597 12 3 ZTF_g 518423294715 0 2.1425 82.993 10.6553 26.1957 7.5084e-06 0.0329935 -0.0402614 1.52413e-05 979 30. 0.047834 0.042444 19.7764 26.1957 1 2458272.9232986 597120147 -1.00122509375157 45.8835753007373 -0.0242733252715766 1.06305177808998 -109.304111754457 83.3189574908989 -1.32071121086633 1.0507178108682 0.0817968177411412 21.901000213623 0.103000000119209 0.671000003814697 -0.0270000007003546 2458262.970116 2458305.977199 0
 8 597 12 3 ZTF_r 518460124715 0 1.8737 162.706 9.6398 26.2336 3.0967e-06 0.0222971 0.109163 5.56676e-06 1071 30. 0.044158 0.040784 20.0345 26.2336 1 2458272.9601273 597120247 15.7878120304879 43.373281450514 0.404906238164597 0.921584963113608 23.3454790183158 81.4470128533905 0.288564446249127 1.04754546526025 0.495776312389876 21.3270000457764 0.0939999967813492 1.09899997711182 0.0390000008046627 2458254.983854 2458423.640718 0
