# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-02-01 at 11:00:25
#
# Requested input R.A. = 234.542309572 degrees
# Requested input Dec. = 4.78065672996 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 480 10 3 ZTF_r 444414933915 0 1.7796 188.613 6.11813 26.2916 3.2507e-06 0.0187463 0.100402 6.40707e-06 633 30. 0.041831 0.042847 20.5851 26.2916 1 2458198.9149306 480120239 -62.7312779783119 29.7712569539172 -2.34391449722883 1.01654143416799 -84.7284053559543 55.1585650076548 -1.54643355984751 1.05297657269962 2.26631853626655 19.1329998016357 0.108999997377396 5.89099979400635 0.607999980449677 2458187.037940 2458258.752500 0
 1 480 10 3 ZTF_r 444437533915 0 1.6251 190.013 6.07029 26.2888 3.2607e-06 0.018747 0.100976 6.41854e-06 631 30. 0.047019 0.047679 20.6238 26.2888 1 2458198.9375347 480120239 -35.4251856054875 29.4712095495129 -1.33711565950003 1.00134614456764 -92.5250958451928 54.3123439805372 -1.71504764593686 1.0552141411151 2.26631853626655 19.1329998016357 0.108999997377396 5.89099979400635 0.607999980449677 2458187.037940 2458258.752500 0
 2 480 10 3 ZTF_g 449376363915 0 2.5648 137.089 8.1521 26.2175 1.23158e-05 0.0338286 -0.0621063 2.85684e-05 580 30. 0.04684 0.053031 19.9382 26.2175 1 2458203.8763657 480120139 26.8898823505549 44.4527756831195 0.672891154283846 0.966663324465863 68.1959789843493 73.3468668268037 0.936035659008806 1.06080815219105 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 3 480 10 3 ZTF_g 449397333915 0 2.4169 139.633 7.48211 26.222 1.04527e-05 0.0321183 -0.030755 2.31958e-05 596 30. 0.047362 0.051656 20.1605 26.222 1 2458203.897338 480120139 -19.3999252513902 40.122490916626 -0.537857179700876 1.03180655197506 11.8610372272911 65.6313753397161 0.181939231558578 1.07870500024605 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 4 480 10 3 ZTF_g 452380233915 0 1.9749 143.84 12.5175 26.2638 1.48566e-05 0.0368733 -0.0460432 3.48854e-05 576 30. 0.043795 0.044325 19.722 26.2638 1 2458206.8802315 480120139 -3.46370471907073 53.62677083817 -0.0718478895747772 1.03329996660771 91.3741808778871 100.416377749572 0.916081552679751 1.05181615729042 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 5 480 10 3 ZTF_g 452408063915 0 2.11 146.604 11.9562 26.2781 1.5164e-05 0.0366303 -0.0578564 3.68723e-05 569 30. 0.047881 0.045958 19.7231 26.2781 1 2458206.9080671 480120139 76.8691080229738 58.6323106731402 1.45837641695401 0.976840353183501 90.9694935266906 102.794107647902 0.890928287574695 1.0631549809394 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 6 480 10 3 ZTF_g 456344453915 1 2.4389 83.991 47.4976 25.8103 0.000580317 0.0674135 -0.0435664 0.00224565 137 30. 0.049341 0.0527 17.6449 25.8103 1 2458210.844456 480120139 104.575480523682 174.49414163786 0.666659111453879 0.920395074350346 263.151615034042 286.621200150045 0.924299933720931 1.08028102587631 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 7 480 10 3 ZTF_g 456389363915 0 2.3324 131.311 22.8716 26.1314 3.8124e-05 0.0382641 -0.0194058 0.000112276 293 30. 0.049548 0.051422 18.8075 26.1314 1 2458210.8893634 480120139 3.87633122872462 120.241365273476 0.0358609493357298 0.957559721029867 138.838140871502 194.412821374372 0.718950647134305 1.09438785157104 2.00804783457829 19.8960000991821 0.103000000119209 4.63000011444092 0.587999999523163 2458203.876366 2458363.655104 0
 8 480 10 3 ZTF_i 460394423915 33554480 2.5619 16.1107 16.5461 22.3032 0.00358388 0.0454984 0.262344 0.0575493 11 30. 0.070081 0.062212 15.2137 22.3032 2 2458214.8944213 480120339 -69.6343318035492 91.3007048129907 -0.848406688143518 0.967861498220701 -178.324262180486 147.546310940657 -1.21673856297462 1.11016357133889 1.40943647272834 19.0860001182556 0.136000007390976 6.53800010681152 0.572000026702881 2458232.835660 2458596.877141 0
